ClientCompany,Division,Region,ServiceType,ServiceCost,CustomerName,CustomerContact,CustomerAddress,DateInterviewed,InvoiceDate,WorkOrderCloseDate,Q1_Score,Q2_Score,Q3_Score,Q4_Score,Q5_Score,Q6_Score,AverageScore,NPS_Label,WasQueueLong,WasStaffPolite,UsedMobileBanking,IssueResolved,WaitTimeCategory
Carr-Maldonado,Headquarters,California,Investment Services,1946.32,Eugene Watson,+1-311-821-6303x20113,"2260 Willis Causeway Apt. 069, New Zachary, MD 95335",2024-06-27,2024-06-27,2024-07-01,5,9,10,7,7,8,7.666666666666667,Passive,True,True,False,True,short
Huang PLC,Regional Branch,Illinois,Branch Services,4161.88,Elizabeth Myers,765.385.9588x57171,"432 Lopez Estate, Port Lindseyton, AL 35998",2024-07-03,2024-07-03,2024-10-25,6,8,9,9,8,10,8.333333333333334,Passive,True,True,False,True,medium
Kramer and Sons,Headquarters,Ohio,Account Opening,296.77,Sydney Ross,591.995.6489x891,"924 Haley Loop Apt. 537, East Barbaraberg, PA 06007",2024-01-19,2024-01-19,2024-05-22,9,6,4,9,10,7,7.5,Passive,True,False,False,True,short
Richards Inc,Regional Branch,Ohio,Loan Services,3952.87,John Bishop,241-831-5639,"173 Kaitlyn Skyway Suite 431, Gayburgh, AR 88331",2024-03-22,2024-03-22,2024-04-12,10,10,10,9,8,4,8.5,Passive,False,True,False,True,medium
Daniels-Kaufman,Headquarters,Illinois,Investment Services,2753.94,Robert Roberts Jr.,8504863405,"2915 Collins Loaf Apt. 426, Kimberlystad, IL 46495",2024-02-24,2024-02-24,2024-08-15,6,10,7,8,9,8,8.0,Passive,True,True,True,True,short
"Dennis, Montes and Nguyen",Online Division,Illinois,Account Opening,4695.05,Angela Leon,496-536-3122,"2591 Ford Circles Suite 370, North Stevenport, IL 81077",2024-06-02,2024-06-02,2024-07-19,6,8,6,5,6,7,6.333333333333333,Detractor,False,True,True,True,short
Burgess-Gonzalez,Headquarters,Georgia,Branch Services,2570.7,Amber Woods,3594068779,"3423 Edward View Suite 326, Port Margaretview, MO 12332",2024-08-13,2024-08-13,2024-10-11,6,5,7,4,9,8,6.5,Detractor,False,True,False,True,long
Garcia-Lopez,Headquarters,Florida,Branch Services,1542.45,George Rivers,+1-277-934-8274x2531,"54552 Schneider Stream, New Thomas, AS 79332",2024-09-11,2024-09-11,2024-12-06,7,6,8,10,4,8,7.166666666666667,Passive,True,True,False,True,medium
"Hull, Freeman and Jones",Headquarters,Florida,Branch Services,2839.87,Larry Brooks,(777)419-3032x59429,"PSC 0138, Box 4242, APO AA 45816",2024-02-27,2024-02-27,2024-09-19,9,8,6,7,6,10,7.666666666666667,Passive,True,True,False,True,short
"Mccormick, Bean and Thomas",Online Division,Georgia,Account Opening,3021.31,Jamie Becker,892.926.9766,"000 Linda Cove, Waltermouth, MP 01012",2024-05-19,2024-05-19,2024-11-22,10,7,6,4,4,4,5.833333333333333,Detractor,False,False,False,True,short
Montoya-Nelson,Online Division,New York,Branch Services,3267.13,Mary Rangel,001-384-989-3388x5156,"17934 Warren Ways Apt. 057, New Michaelmouth, NC 79641",2024-04-27,2024-04-27,2024-07-10,9,4,9,7,8,10,7.833333333333333,Passive,False,True,False,True,short
Hill-Smith,Headquarters,Florida,Branch Services,3896.84,John Anthony,+1-995-970-2351x813,"43696 Lynn River Apt. 492, Aliciaburgh, OH 14274",2024-02-11,2024-02-11,2024-07-19,7,6,3,6,7,6,5.833333333333333,Detractor,True,True,False,True,medium
Shelton LLC,Headquarters,California,Online Banking,2868.74,Angela Silva,378.998.2861x75846,"PSC 4884, Box 7233, APO AP 28620",2024-09-21,2024-09-21,2024-11-17,8,7,6,8,8,5,7.0,Passive,True,True,True,True,medium
Wagner PLC,Online Division,Ohio,Investment Services,4410.93,Melissa Walls,+1-225-550-4656x045,"437 Mccarty Place Apt. 495, Joneshaven, MA 24686",2024-08-06,2024-08-06,2024-10-26,7,8,9,8,9,8,8.166666666666666,Passive,False,True,False,True,medium
"Ford, Mason and Jenkins",Online Division,Texas,Investment Services,2387.56,Dr. Joshua Cox,(404)995-7594x5124,"Unit 9060 Box 8307, DPO AP 00602",2024-10-02,2024-10-02,2024-11-14,8,5,8,7,7,7,7.0,Passive,True,True,False,True,medium
"Gonzalez, Scott and Turner",Headquarters,New York,Account Opening,1118.15,Jacqueline Charles,+1-287-875-5125x332,"8237 King Gardens, Reynoldsburgh, IA 52744",2024-06-17,2024-06-17,2024-07-14,6,8,8,5,10,6,7.166666666666667,Passive,False,True,False,True,long
Bailey-Little,Headquarters,Georgia,Investment Services,3969.46,Emily Faulkner,+1-293-555-3903x74808,"0292 Fowler Rue Suite 976, New Lindashire, CO 69194",2024-09-20,2024-09-20,2024-09-24,8,6,10,5,9,10,8.0,Passive,True,True,True,True,medium
Williams Ltd,Online Division,New York,Loan Services,2329.38,Christina Hoover,+1-827-300-4797x568,"2477 Miller Extensions Apt. 052, Meltonland, NE 58929",2024-04-01,2024-04-01,2024-04-12,10,7,8,8,7,9,8.166666666666666,Passive,True,True,True,True,medium
Montgomery-Cook,Headquarters,Florida,Account Opening,3793.49,Antonio Lee,(457)589-9129x80438,"Unit 3745 Box 3635, DPO AA 77268",2024-05-10,2024-05-10,2024-09-27,4,10,4,10,10,5,7.166666666666667,Passive,False,True,True,True,medium
Love-Johnson,Headquarters,Illinois,Loan Services,2589.19,Chelsey Hill,908-844-6402x85597,"6367 Thomas Key, Pachecofurt, VT 11000",2024-01-28,2024-01-28,2024-04-29,5,7,7,9,10,10,8.0,Passive,False,True,False,True,long
Hartman and Sons,Online Division,Florida,Online Banking,2437.83,Crystal Nelson,970-778-1698x7935,"366 Austin Field, New Donaldfurt, IL 14633",2024-12-02,2024-12-02,2024-12-25,7,4,6,9,10,5,6.833333333333333,Detractor,False,True,True,True,short
"Ward, Roth and Warren",Regional Branch,New York,Investment Services,2407.54,Christopher Jackson,799.919.7653,"3978 Robert Avenue, Lisaview, OK 60572",2024-03-21,2024-03-21,2024-09-14,7,8,6,8,7,7,7.166666666666667,Passive,False,True,False,True,short
Lewis Inc,Regional Branch,Ohio,Loan Services,3546.28,Cynthia Frederick,6393976009,"1579 Michael Lake, Matthewshire, PW 45260",2024-06-22,2024-06-22,2024-08-15,8,7,7,7,7,7,7.166666666666667,Passive,False,True,True,True,medium
"Diaz, Marshall and Hess",Regional Branch,New York,Branch Services,4598.65,Veronica Mcclure,+1-324-961-5470x603,"3225 Chris Divide Apt. 536, Port Natalie, VT 70556",2024-06-11,2024-06-11,2024-09-08,9,7,9,7,10,8,8.333333333333334,Passive,False,False,True,True,short
"Mason, Larson and Harris",Regional Branch,California,Online Banking,2892.7,Jason Underwood,782-437-1070x79763,"38470 Smith Gateway, Lake Jacobland, MD 27182",2024-04-09,2024-04-09,2024-09-05,8,4,5,5,8,10,6.666666666666667,Detractor,False,True,True,True,short
"Scott, Meyer and Benitez",Online Division,New York,Account Opening,5231.3,John Mckinney,621.727.0116x60098,"843 Kimberly Spur Apt. 220, Garciatown, DC 25851",2024-06-09,2024-06-09,2024-11-07,9,9,4,6,6,6,6.666666666666667,Detractor,True,False,True,True,long
"Sanchez, Thomas and Johnson",Regional Branch,Illinois,Account Opening,2831.86,Kimberly Cabrera,+1-988-473-8969x6182,"9964 Christopher Square, Rachaelchester, AK 64528",2024-12-13,2024-12-13,2024-12-26,7,4,9,5,8,10,7.166666666666667,Passive,True,False,True,True,medium
Hancock PLC,Headquarters,Florida,Online Banking,2080.62,Sarah Nguyen,817.442.6234x283,"5323 Perez Drive Suite 699, North Laura, NV 53847",2024-04-06,2024-04-06,2024-05-15,2,7,10,10,5,8,7.0,Passive,True,True,False,True,medium
Rasmussen PLC,Regional Branch,Illinois,Investment Services,2534.69,William Wright,950.596.7205x8194,"71026 Thomas Crest, Hesterborough, NV 86453",2024-08-23,2024-08-23,2024-09-05,7,10,4,8,8,10,7.833333333333333,Passive,False,True,False,True,long
Ryan Group,Online Division,Georgia,Investment Services,3097.98,Teresa Gibbs,001-257-931-5211,"806 Karen Port Apt. 235, Ashleystad, NM 43541",2024-07-05,2024-07-05,2024-11-15,8,7,8,7,9,7,7.666666666666667,Passive,True,True,False,True,long
"Ray, Blankenship and Graves",Online Division,Texas,Account Opening,3377.1,Roberto Leblanc,8533102413,"446 Kim Prairie Apt. 176, Meghanhaven, AZ 42310",2024-12-30,2024-12-30,2024-12-30,7,10,7,4,10,6,7.333333333333333,Passive,False,True,False,True,short
Lee Inc,Headquarters,Ohio,Branch Services,2346.23,Mrs. Melissa Boyer,+1-438-694-4998x008,"5630 Cruz Tunnel Apt. 859, Port Adamberg, GU 50022",2024-08-31,2024-08-31,2024-12-17,6,10,3,10,10,8,7.833333333333333,Passive,True,True,False,True,long
Moran PLC,Online Division,Georgia,Online Banking,2945.11,Tracey Castillo,001-633-419-6939x4975,"534 Mendez Flat Suite 296, North Calebburgh, KS 67491",2024-12-13,2024-12-13,2024-12-21,8,9,9,9,8,7,8.333333333333334,Passive,True,True,False,True,medium
Sullivan-Young,Regional Branch,Texas,Branch Services,2848.73,Jeremy Williams,(966)395-0880x66906,"65420 Jose Route Suite 808, North Sally, GU 41881",2024-11-05,2024-11-05,2024-12-16,7,10,9,2,9,8,7.5,Passive,True,True,True,False,medium
Moore Group,Headquarters,Ohio,Loan Services,2981.29,Julie Hernandez,+1-499-667-5780,"534 Young Center, Thomasside, CA 56187",2024-07-10,2024-07-10,2024-07-13,7,10,9,6,8,6,7.666666666666667,Passive,True,True,True,True,medium
"Willis, Marquez and Burns",Regional Branch,New York,Branch Services,1620.38,Mr. William Logan,233-736-6504x48395,"11647 Cheryl Rue, Sarahmouth, TX 95599",2024-08-11,2024-08-11,2024-11-24,6,9,9,9,9,9,8.5,Passive,False,True,True,True,medium
Garrett LLC,Headquarters,New York,Branch Services,2358.52,Carl Huerta,764.262.8252x22179,"6412 Cruz Stream, Luceroville, WA 95072",2024-08-15,2024-08-15,2024-10-01,8,9,9,10,9,8,8.833333333333334,Passive,False,True,False,True,long
Dean Inc,Online Division,Ohio,Loan Services,4070.15,Austin Bryan,2068074456,"0434 Wade Mill, Port Ashley, MH 31799",2024-09-24,2024-09-24,2024-11-10,7,6,7,6,6,7,6.5,Detractor,True,False,True,True,medium
Gonzalez LLC,Regional Branch,Pennsylvania,Investment Services,2207.58,Mary Thompson,302.231.1771x54321,"720 Dalton Village, Andreaville, CT 91690",2024-01-22,2024-01-22,2024-06-02,7,4,8,8,6,9,7.0,Passive,False,True,False,True,short
Lloyd-Lawrence,Online Division,Florida,Investment Services,3937.57,Elijah Scott,+1-708-928-4653x839,"8228 Young Rue, East Susan, MA 27376",2024-11-10,2024-11-10,2024-12-21,4,6,6,6,9,7,6.333333333333333,Detractor,True,True,True,True,short
Barnes-Wilson,Online Division,Georgia,Account Opening,2735.49,Erika Boyd,001-469-254-5220x65805,"22995 Julia Ports, Craigmouth, NH 13284",2024-10-01,2024-10-01,2024-11-16,3,9,5,8,8,10,7.166666666666667,Passive,True,True,True,True,short
Price-Hutchinson,Regional Branch,California,Branch Services,1691.18,Megan Russell PhD,001-487-229-6695x91970,"5505 Gilbert Groves, Kathrynberg, WY 22290",2024-08-22,2024-08-22,2024-12-24,1,8,10,10,8,7,7.333333333333333,Passive,True,True,False,True,long
Bell and Sons,Online Division,Illinois,Branch Services,3807.12,Mary Gonzalez,(488)536-9442x6057,"58407 Kevin Center Suite 650, New Deborahside, MS 83490",2024-07-14,2024-07-14,2024-09-26,6,8,9,10,10,8,8.5,Passive,True,True,False,True,short
Rodriguez LLC,Headquarters,Ohio,Account Opening,2491.04,Jeffrey Carpenter MD,+1-620-503-3833x98191,"985 Vincent Unions, South Kristin, WI 92146",2024-01-18,2024-01-18,2024-04-20,7,4,6,7,6,8,6.333333333333333,Detractor,False,True,True,True,long
Myers LLC,Online Division,Pennsylvania,Online Banking,2177.58,Veronica Burke,673.237.1742,"570 Michael Fall Apt. 771, Lake Elizabeth, HI 11895",2024-05-29,2024-05-29,2024-09-01,10,8,7,7,8,9,8.166666666666666,Passive,True,True,True,True,long
Church Inc,Headquarters,California,Online Banking,2132.87,Mario Moody,613-500-2186,"091 Kevin Knoll, Millertown, AL 40309",2024-11-23,2024-11-23,2024-11-23,6,7,5,6,7,9,6.666666666666667,Detractor,True,False,False,True,medium
Mendoza PLC,Online Division,Ohio,Investment Services,3262.56,Patricia Shannon,+1-672-317-2073x71686,"480 Rebekah Park, East Matthew, CA 33765",2024-07-09,2024-07-09,2024-08-26,8,9,7,8,7,8,7.833333333333333,Passive,True,True,False,True,short
Martinez PLC,Regional Branch,Ohio,Loan Services,2417.24,Julie Smith,(210)417-4430x586,"68896 Jason Springs, Santanaville, GU 34593",2024-05-06,2024-05-06,2024-07-05,3,7,10,9,9,10,8.0,Passive,False,True,False,True,medium
"Scott, Flowers and Morgan",Headquarters,Illinois,Loan Services,3088.66,Bruce Johnson,328.398.5335x2248,"02033 Torres Islands, North Samanthashire, OH 60598",2024-10-21,2024-10-21,2024-12-13,8,6,7,9,10,7,7.833333333333333,Passive,False,True,True,True,short
Gonzalez-Hill,Headquarters,California,Account Opening,2549.81,Gregory Hall,913-937-1856x965,"USCGC Johnson, FPO AA 29855",2024-01-20,2024-01-20,2024-05-18,8,9,5,3,6,5,6.0,Detractor,False,True,False,True,short
Herring-Jordan,Regional Branch,Georgia,Branch Services,2491.86,David Bates,+1-966-503-9217x87620,"57902 Smith Square, East Colleenfurt, CO 49044",2024-06-03,2024-06-03,2024-06-15,7,7,10,8,8,9,8.166666666666666,Passive,False,True,True,True,short
Davis and Sons,Online Division,Pennsylvania,Online Banking,1861.17,Terry Stephens,6386777764,"4691 Wesley Summit, Port Kyle, TX 61720",2024-06-26,2024-06-26,2024-10-23,10,7,9,5,4,9,7.333333333333333,Passive,True,True,False,True,medium
"Grant, Robles and Golden",Online Division,Florida,Branch Services,3376.41,David Pierce,+1-787-542-8557,"PSC 1318, Box 1672, APO AE 84423",2024-04-08,2024-04-08,2024-10-21,6,6,10,5,10,6,7.166666666666667,Passive,True,True,True,True,short
Adams-Williams,Regional Branch,Texas,Account Opening,3638.39,Robert Miller,2503955410,"695 Ayala Land Apt. 478, North Michelle, ME 16785",2024-05-26,2024-05-26,2024-08-02,7,9,6,7,8,5,7.0,Passive,True,True,False,True,medium
Summers and Sons,Regional Branch,Illinois,Loan Services,3740.82,Brian Hernandez,397.860.1560x1527,"3105 William Mill Suite 126, Allenfort, NY 56759",2024-03-16,2024-03-16,2024-10-26,6,7,6,2,7,10,6.333333333333333,Detractor,False,True,True,True,short
"Ferguson, Mendoza and Russo",Headquarters,Ohio,Investment Services,3784.6,Crystal Cain,(486)287-5378x1296,"4432 Harris Fork, Bradleystad, NY 65138",2024-04-21,2024-04-21,2024-05-20,7,7,8,9,5,10,7.666666666666667,Passive,False,False,False,True,short
Johnson-Collier,Online Division,Texas,Investment Services,3715.38,Ashley West,443-377-7109,"Unit 0139 Box 9404, DPO AE 25453",2024-06-20,2024-06-20,2024-10-31,9,8,8,9,9,7,8.333333333333334,Passive,False,True,True,True,short
"Perez, Williams and Miller",Regional Branch,Pennsylvania,Investment Services,2426.4,Cody Martin,480-608-3857x092,"95756 Aguilar Corners, Rhondahaven, MD 12071",2024-04-29,2024-04-29,2024-12-04,8,10,5,5,8,8,7.333333333333333,Passive,False,False,True,True,short
Alexander-Ortiz,Regional Branch,Pennsylvania,Account Opening,3173.34,Theresa Frazier,(322)486-6818,"309 Raymond Square Suite 513, Yolandaton, VA 84787",2024-02-12,2024-02-12,2024-05-20,8,7,10,4,6,7,7.0,Passive,True,True,True,True,medium
Burgess PLC,Online Division,Georgia,Loan Services,1356.81,Suzanne Becker,001-818-376-0049x333,"383 Kathleen Walk Apt. 717, Robinview, TN 76489",2024-11-06,2024-11-06,2024-11-09,7,10,8,8,5,6,7.333333333333333,Passive,False,True,True,True,medium
Sparks Ltd,Regional Branch,Georgia,Loan Services,2624.8,Karen Martin,458.456.1186x99143,"296 Hooper Mountain Apt. 932, Gibsonside, ID 68283",2024-02-27,2024-02-27,2024-10-01,7,10,9,5,8,8,7.833333333333333,Passive,False,True,True,True,medium
"Glover, Hernandez and Thomas",Headquarters,Georgia,Branch Services,4140.15,Sandra Johnson,(343)490-9091x6451,"91963 Smith Brooks, Carrillostad, MN 14830",2024-09-03,2024-09-03,2024-11-23,10,5,6,5,7,8,6.833333333333333,Detractor,False,True,False,True,medium
Barber and Sons,Regional Branch,California,Account Opening,3987.33,Susan Turner MD,829.913.8017x9679,"580 Lee Drive Apt. 653, Tristanville, OR 64060",2024-04-21,2024-04-21,2024-12-19,7,7,8,6,10,4,7.0,Passive,True,True,False,True,medium
Colon Inc,Online Division,Ohio,Investment Services,3184.74,Kenneth Macias,(295)998-1895x342,"833 Jamie Plaza, Barrettland, WV 53631",2024-05-25,2024-05-25,2024-09-28,10,8,7,7,7,10,8.166666666666666,Passive,False,True,True,True,medium
Riggs-Wilson,Online Division,Florida,Online Banking,788.14,Alexandra Roberts,(283)395-9775x8149,"Unit 0833 Box 4154, DPO AP 25820",2024-09-06,2024-09-06,2024-10-01,10,5,7,7,9,4,7.0,Passive,False,True,True,True,short
"Alvarez, Williams and Fisher",Headquarters,Illinois,Online Banking,3462.17,Jason Cruz,945-729-3091,"360 Leroy Port, Lake Kaylafurt, NV 51645",2024-07-27,2024-07-27,2024-10-09,10,5,8,6,8,8,7.5,Passive,True,True,True,True,short
Lyons Group,Headquarters,Georgia,Investment Services,2358.51,Brian Scott,594-837-3055x842,"085 Paula Mission Apt. 941, New Brandyville, MS 78206",2024-12-14,2024-12-14,2024-12-23,8,10,7,9,5,6,7.5,Passive,False,True,False,True,short
"James, Little and Vargas",Online Division,California,Account Opening,3472.41,Kaylee Lopez,589-766-3222x8364,"18903 Amy Curve Apt. 648, Taylorhaven, AL 08468",2024-02-12,2024-02-12,2024-06-10,10,8,7,7,5,9,7.666666666666667,Passive,False,True,True,False,medium
"Smith, Coleman and Wilson",Online Division,Texas,Branch Services,3882.33,Julie Roberts,481-726-6342x3424,"038 Steven Wells, North Dianefurt, PR 03568",2024-08-29,2024-08-29,2024-08-30,7,7,8,7,7,10,7.666666666666667,Passive,True,True,False,False,short
"Kelly, Evans and Collins",Regional Branch,Texas,Loan Services,2752.97,Tyler Gray,373-475-4945,"94368 Stevens Square Suite 566, East Kevinshire, RI 03353",2024-09-11,2024-09-11,2024-12-05,7,6,9,7,6,10,7.5,Passive,False,True,True,True,short
"Fuller, Hogan and Patton",Headquarters,Florida,Loan Services,4419.6,Gregory Craig,+1-757-474-9856x837,"99638 Danielle Burg, Erikfurt, GU 77173",2024-02-07,2024-02-07,2024-05-02,6,4,10,6,9,4,6.5,Detractor,False,True,True,True,medium
"Stewart, Howard and Morrison",Online Division,Texas,Investment Services,3892.6,Jessica Watson,638.702.4338,"106 Jennifer Meadows, Fowlerfort, RI 03753",2024-01-05,2024-01-05,2024-01-26,5,9,8,6,7,9,7.333333333333333,Passive,False,True,True,True,long
"Erickson, Sandoval and Santiago",Online Division,Pennsylvania,Branch Services,3105.89,Linda Oneill,001-971-903-7917x384,"8428 Eaton Glen, East Brooke, DC 93799",2024-02-20,2024-02-20,2024-12-23,9,10,4,10,8,6,7.833333333333333,Passive,False,True,True,True,long
Johnson and Sons,Online Division,Texas,Investment Services,1669.69,Debbie Simmons,706-291-6779x869,"044 Taylor Rest, East David, WA 25788",2024-09-10,2024-09-10,2024-09-12,7,9,7,10,5,7,7.5,Passive,True,True,False,True,short
"Sutton, Taylor and Anderson",Headquarters,Pennsylvania,Loan Services,1747.61,Theresa Stephens,806-886-5689,"1263 William Point Apt. 243, Port Chelsea, CO 22819",2024-06-26,2024-06-26,2024-10-06,8,9,7,2,8,8,7.0,Passive,False,True,True,True,short
"Terry, Reyes and Lopez",Regional Branch,Texas,Branch Services,3404.29,Brandon Moreno,696-278-7322x482,"4029 Brown Passage Suite 060, North Miguelchester, LA 37089",2024-04-06,2024-04-06,2024-10-04,10,5,9,10,4,8,7.666666666666667,Passive,True,True,True,True,long
Blankenship-Davis,Online Division,New York,Investment Services,2495.82,Olivia Tanner,+1-928-545-2839x718,"9379 Charles Fort Suite 734, South Richardtown, NV 83868",2024-11-20,2024-11-20,2024-12-25,7,8,7,6,8,5,6.833333333333333,Detractor,True,True,True,True,long
Powell-Meza,Online Division,Georgia,Online Banking,1914.17,Molly Bryant,+1-589-447-7649x1558,"PSC 8248, Box 6291, APO AE 18361",2024-11-05,2024-11-05,2024-11-14,9,5,9,8,4,6,6.833333333333333,Detractor,False,True,False,True,short
Valencia-Fox,Headquarters,Florida,Investment Services,4194.11,Tina King,(459)309-3313,"527 Justin Landing Suite 104, Weberburgh, LA 65118",2024-11-11,2024-11-11,2024-11-28,6,7,8,9,7,6,7.166666666666667,Passive,True,True,False,True,short
"Bell, Patterson and King",Online Division,Georgia,Branch Services,4422.37,Tammy Bell,315-288-1958,"2519 Pedro Divide, New Karen, VA 59647",2024-03-29,2024-03-29,2024-04-13,10,9,8,6,6,9,8.0,Passive,True,True,False,True,long
"Hendrix, Henry and Hopkins",Regional Branch,New York,Online Banking,3418.4,Deborah Gibson,+1-653-690-5987x2055,"08539 Smith Freeway Suite 042, West Laura, NC 37793",2024-02-04,2024-02-04,2024-02-28,10,9,4,10,6,7,7.666666666666667,Passive,True,False,True,True,medium
"Parrish, Patel and Moreno",Headquarters,Illinois,Account Opening,3250.2,Lori Duke,001-502-864-0843x340,"303 Fischer Inlet Suite 855, Claudiamouth, HI 24973",2024-05-18,2024-05-18,2024-12-25,10,10,9,7,9,9,9.0,Promoter,False,True,True,True,long
"Russell, Charles and Jensen",Headquarters,Florida,Branch Services,2679.33,Vincent Simpson DDS,891-956-9292x2652,"04478 Brandon Shoals Apt. 856, Jefferystad, WA 24541",2024-11-29,2024-11-29,2024-12-27,10,8,8,9,8,9,8.666666666666666,Passive,False,False,False,True,short
Holden and Sons,Headquarters,Florida,Account Opening,2382.75,Kimberly Howard MD,001-361-477-4500x2885,"029 Beltran Mission, Amyville, KS 48493",2024-09-17,2024-09-17,2024-10-13,6,5,8,9,8,10,7.666666666666667,Passive,False,True,True,True,medium
"Jacobson, Johnson and Schultz",Regional Branch,Illinois,Branch Services,2994.4,Madison Chapman,(747)889-6895x9790,"44377 Brandon Hollow Suite 840, Lake Paul, IA 91252",2024-10-20,2024-10-20,2024-11-19,9,5,7,9,9,7,7.666666666666667,Passive,True,True,False,False,long
"Hays, Houston and Collins",Online Division,Texas,Loan Services,2928.4,Darryl Wu,682.602.6619,"25500 Danny Plains Suite 934, East Amanda, AS 22764",2024-04-19,2024-04-19,2024-07-15,4,7,9,9,9,8,7.666666666666667,Passive,True,True,False,True,medium
Little-Miller,Online Division,Ohio,Online Banking,3007.06,Samantha Lopez,3128407771,"52221 Carrie Stream, Andersonfurt, MD 31189",2024-06-24,2024-06-24,2024-12-02,6,9,8,8,6,3,6.666666666666667,Detractor,True,True,False,True,short
Preston-Tran,Headquarters,California,Online Banking,4097.15,Regina Phillips,257.678.5029x62935,"85737 Stacy Mission, Gonzaleston, RI 70719",2024-04-15,2024-04-15,2024-08-08,7,6,9,7,10,9,8.0,Passive,False,True,False,True,short
Barker-Duran,Online Division,New York,Account Opening,3683.57,Robert Berry,(908)604-6166,"128 Bell Avenue Suite 408, New Randallmouth, PA 71062",2024-07-28,2024-07-28,2024-08-01,5,10,8,7,8,4,7.0,Passive,False,True,False,True,medium
"Anderson, Ferguson and Hudson",Regional Branch,Florida,Online Banking,3408.65,Raymond Lewis,(267)211-7237x37414,"6351 Holden River Suite 244, Lauramouth, ME 70274",2024-12-12,2024-12-12,2024-12-18,5,5,4,10,6,10,6.666666666666667,Detractor,True,True,False,True,short
"Norris, Camacho and Rice",Online Division,Texas,Branch Services,2464.2,Carolyn Bender,909-626-8477,"USCGC Arnold, FPO AP 21237",2024-12-05,2024-12-05,2024-12-08,4,5,10,7,6,8,6.666666666666667,Detractor,False,True,True,True,medium
Burns LLC,Regional Branch,New York,Account Opening,3501.78,Brandon Day,(330)851-8899x54700,"PSC 1931, Box 2957, APO AA 88339",2024-07-15,2024-07-15,2024-12-06,10,10,7,5,7,8,7.833333333333333,Passive,True,True,True,False,short
Roberts Group,Online Division,Texas,Investment Services,2036.24,Jose Orozco,001-209-574-9470x697,"118 Parsons Shoal Apt. 445, Porterfurt, MD 23163",2024-03-01,2024-03-01,2024-12-29,6,8,7,8,6,7,7.0,Passive,True,False,False,True,short
Patrick Inc,Headquarters,Pennsylvania,Loan Services,2075.77,Mary Newman,(507)794-1175,"16035 Franklin Land, North Timothy, PR 29394",2024-04-06,2024-04-06,2024-04-10,9,10,4,6,5,6,6.666666666666667,Detractor,True,True,False,True,medium
Delgado and Sons,Regional Branch,California,Account Opening,2916.56,Judith Barrett,547.530.1566,"239 Daugherty Plain, Johnville, RI 52640",2024-07-16,2024-07-16,2024-08-15,5,6,5,8,8,6,6.333333333333333,Detractor,True,True,True,True,short
"Garcia, Chen and Black",Online Division,Georgia,Account Opening,3176.82,Lori Caldwell,+1-259-669-0932x492,"89496 Wilson Locks Apt. 825, West Jacob, CO 00550",2024-12-30,2024-12-30,2024-12-30,6,7,10,10,5,9,7.833333333333333,Passive,True,True,True,False,short
Vargas PLC,Headquarters,Georgia,Account Opening,3811.4,Dawn Austin,380-539-1512x6967,"7559 Todd Keys, Hessshire, AK 57547",2024-04-04,2024-04-04,2024-07-12,5,9,10,5,6,10,7.5,Passive,True,True,True,True,short
Ingram-Russo,Regional Branch,Texas,Online Banking,3271.5,Stephanie Simpson,001-513-674-5924x985,"USNV Grant, FPO AA 70838",2024-03-12,2024-03-12,2024-11-27,9,8,8,5,10,10,8.333333333333334,Passive,True,True,True,True,medium
Morrow-Foster,Online Division,Texas,Online Banking,2770.61,Nicholas Flynn DDS,779-675-3186x9560,"700 Ryan Field Apt. 753, East Patrickport, IN 38719",2024-11-10,2024-11-10,2024-11-20,7,4,9,9,7,10,7.666666666666667,Passive,False,True,True,False,medium
Young-Johnson,Regional Branch,Florida,Account Opening,2665.92,Philip Martinez,+1-957-466-6302x0109,"5443 Gloria Corners, Allenberg, FL 63537",2024-08-15,2024-08-15,2024-11-01,9,5,7,7,8,7,7.166666666666667,Passive,True,True,True,True,short
"Daniel, Moreno and Bentley",Regional Branch,Pennsylvania,Loan Services,2868.53,Courtney Yoder,447-676-4586x61704,"7931 White Springs, North Richardhaven, TX 21052",2024-06-01,2024-06-01,2024-07-15,9,7,4,10,10,5,7.5,Passive,True,True,True,True,medium
"Raymond, Harrison and Gilmore",Online Division,Illinois,Account Opening,3689.71,Joshua Johnson,827.337.9554,"799 Brian Mountains Apt. 309, Aaronview, GU 63300",2024-05-28,2024-05-28,2024-12-26,6,8,8,7,6,6,6.833333333333333,Detractor,False,True,True,True,short
Page Inc,Headquarters,Florida,Online Banking,2083.81,Lance Cobb,462-569-1761,"738 Flores Stream Suite 975, East Jasmine, MN 83166",2024-09-22,2024-09-22,2024-10-12,6,7,6,9,10,6,7.333333333333333,Passive,False,True,False,True,short
"Aguilar, Armstrong and Miles",Headquarters,Pennsylvania,Investment Services,3239.4,Sarah Dean,+1-356-642-3625x102,"7274 Janice Stream, Kevinbury, MO 41379",2024-08-03,2024-08-03,2024-08-21,8,8,8,9,8,5,7.666666666666667,Passive,True,True,False,True,medium
Mack Ltd,Regional Branch,California,Account Opening,3869.16,Brooke Brown DVM,595.928.1509x64225,"764 Scott Rue, Smithville, DC 17456",2024-12-06,2024-12-06,2024-12-26,9,6,8,9,7,10,8.166666666666666,Passive,True,True,True,True,short
